chronological_rank,release_date,date_confidence,evolution_id,name,name_zh,slug,category,status,url
190,2025-12-18,exact,195,Thunder It In,,thunder-it-in,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/195/thunder-it-in
191,2025-12-18,exact,196,Left Sided Attacker,,left-sided-attacker,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/196/left-sided-attacker
192,2025-12-18,exact,197,Right Sided Attacker,,right-sided-attacker,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/197/right-sided-attacker
193,2025-12-19,inferred,198,Frostbite Finisher,,frostbite-finisher,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/198/frostbite-finisher
194,2025-12-19,exact,199,GK Roles++,,gk-roles,ROLES,expired,https://www.futbin.com/26/evolutions/199/gk-roles
195,2025-12-19,exact,200,LB Roles++,,lb-roles,ROLES,expired,https://www.futbin.com/26/evolutions/200/lb-roles
196,2025-12-19,exact,201,RB Roles++,,rb-roles,ROLES,expired,https://www.futbin.com/26/evolutions/201/rb-roles
197,2025-12-19,exact,202,CB Roles++,,cb-roles,ROLES,expired,https://www.futbin.com/26/evolutions/202/cb-roles
198,2025-12-19,exact,203,CDM Roles++,,cdm-roles,ROLES,expired,https://www.futbin.com/26/evolutions/203/cdm-roles
199,2025-12-19,exact,204,Winter Wildcards Red Icon,,winter-wildcards-red-icon,COSMETICS,expired,https://www.futbin.com/26/evolutions/204/winter-wildcards-red-icon
200,2025-12-19,inferred,205,Left Protector,,left-protector,REWARDS,expired,https://www.futbin.com/26/evolutions/205/left-protector
201,2025-12-19,inferred,206,RW Winger++,,rw-winger,REWARDS,expired,https://www.futbin.com/26/evolutions/206/rw-winger
202,2025-12-20,inferred,207,Enforcer,,enforcer,REWARDS,expired,https://www.futbin.com/26/evolutions/207/enforcer
203,2025-12-20,inferred,208,Technical+,,technical,REWARDS,expired,https://www.futbin.com/26/evolutions/208/technical
204,2025-12-20,exact,209,Passing Perfectionist,,passing-perfectionist,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/209/passing-perfectionist
205,2025-12-20,exact,210,Stay Frosty,,stay-frosty,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/210/stay-frosty
206,2025-12-21,exact,211,Chilling Wingback,,chilling-wingback,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/211/chilling-wingback
207,2025-12-22,inferred,212,CDM Holding++,,cdm-holding,REWARDS,expired,https://www.futbin.com/26/evolutions/212/cdm-holding
208,2025-12-22,inferred,213,Relentless+,,relentless,REWARDS,expired,https://www.futbin.com/26/evolutions/213/relentless
209,2025-12-23,exact,214,Attacking Freeze,,attacking-freeze,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/214/attacking-freeze
210,2025-12-24,exact,215,Icy Precision,,icy-precision,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/215/icy-precision
211,2025-12-24,inferred,221,Architect,,architect,REWARDS,expired,https://www.futbin.com/26/evolutions/221/architect
212,2025-12-24,inferred,228,Read and React - Season 4 (p) Lvl 10,,read-and-react-season-4-p-lvl-10,REWARDS,expired,https://www.futbin.com/26/evolutions/228/read-and-react-season-4-p-lvl-10
213,2025-12-24,inferred,229,Brute Defense - Season 4 Lvl 20,,brute-defense-season-4-lvl-20,REWARDS,expired,https://www.futbin.com/26/evolutions/229/brute-defense-season-4-lvl-20
214,2025-12-25,inferred,230,Proper Passer,,proper-passer,REWARDS,expired,https://www.futbin.com/26/evolutions/230/proper-passer
215,2025-12-25,inferred,231,Grasscutter - Season 4 (p) Lvl 20,,grasscutter-season-4-p-lvl-20,REWARDS,expired,https://www.futbin.com/26/evolutions/231/grasscutter-season-4-p-lvl-20
216,2025-12-25,inferred,232,Right Side Trickster - Season 4 Lvl 26,,right-side-trickster-season-4-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/232/right-side-trickster-season-4-lvl-26
217,2025-12-25,inferred,236,Left Side Trickster - Season 4 Lvl 26,,left-side-trickster-season-4-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/236/left-side-trickster-season-4-lvl-26
218,2025-12-25,inferred,237,RW Roles++ - Season 4 (p) Lvl 26,,rw-roles-season-4-p-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/237/rw-roles-season-4-p-lvl-26
219,2025-12-25,inferred,238,LW Roles++ - Season 4 (p) Lvl 26,,lw-roles-season-4-p-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/238/lw-roles-season-4-p-lvl-26
220,2025-12-25,inferred,242,Technical+,,technical,REWARDS,expired,https://www.futbin.com/26/evolutions/242/technical
221,2025-12-25,inferred,243,Get a Move On! Season 4 (p) Lvl 34,,get-a-move-on-season-4-p-lvl-34,REWARDS,expired,https://www.futbin.com/26/evolutions/243/get-a-move-on-season-4-p-lvl-34
222,2025-12-25,inferred,244,Finesse Shot+ - Season 4 (p) Lvl 36,,finesse-shot-season-4-p-lvl-36,REWARDS,expired,https://www.futbin.com/26/evolutions/244/finesse-shot-season-4-p-lvl-36
223,2025-12-25,exact,245,Snow Shadow,,snow-shadow,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/245/snow-shadow
224,2025-12-25,inferred,246,Ball on a string - Season 4 (p) Lvl 33,,ball-on-a-string-season-4-p-lvl-33,REWARDS,expired,https://www.futbin.com/26/evolutions/246/ball-on-a-string-season-4-p-lvl-33
225,2025-12-26,inferred,247,Stopped in its Tracks - Season 4 (p) Lvl 23,,stopped-in-its-tracks-season-4-p-lvl-23,REWARDS,expired,https://www.futbin.com/26/evolutions/247/stopped-in-its-tracks-season-4-p-lvl-23
226,2025-12-26,exact,248,Winter Wall,,winter-wall,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/248/winter-wall
227,2025-12-26,exact,249,CM Roles++,,cm-roles,ROLES,expired,https://www.futbin.com/26/evolutions/249/cm-roles
228,2025-12-26,exact,250,CAM Roles++,,cam-roles,ROLES,expired,https://www.futbin.com/26/evolutions/250/cam-roles
229,2025-12-26,exact,251,LW Roles++,,lw-roles,ROLES,expired,https://www.futbin.com/26/evolutions/251/lw-roles
230,2025-12-26,exact,252,RW Roles++,,rw-roles,ROLES,expired,https://www.futbin.com/26/evolutions/252/rw-roles
231,2025-12-26,exact,253,ST Roles++,,st-roles,ROLES,expired,https://www.futbin.com/26/evolutions/253/st-roles
232,2025-12-27,exact,254,Frosty Dribbler,,frosty-dribbler,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/254/frosty-dribbler
233,2025-12-27,exact,255,Leading the Line,,leading-the-line,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/255/leading-the-line
234,2025-12-28,exact,256,Glacial Creator,,glacial-creator,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/256/glacial-creator
235,2025-12-30,exact,257,Balancing Act,,balancing-act,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/257/balancing-act
236,2025-12-31,exact,258,I Can See You,,i-can-see-you,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/258/i-can-see-you
237,2026-01-01,exact,259,New Year Overdrive,,new-year-overdrive,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/259/new-year-overdrive
238,2026-01-02,exact,260,Plenty of time Left,,plenty-of-time-left,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/260/plenty-of-time-left
239,2026-01-03,exact,261,Fresh Legs,,fresh-legs,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/261/fresh-legs
240,2026-01-03,exact,262,Time Warp,,time-warp,COSMETICS,expired,https://www.futbin.com/26/evolutions/262/time-warp
241,2026-01-04,inferred,263,Silver Passer,,silver-passer,REWARDS,expired,https://www.futbin.com/26/evolutions/263/silver-passer
242,2026-01-04,exact,264,Peak Endurance,,peak-endurance,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/264/peak-endurance
243,2026-01-05,inferred,265,Timeless Talent,,timeless-talent,REWARDS,expired,https://www.futbin.com/26/evolutions/265/timeless-talent
244,2026-01-05,inferred,266,Progressing Along,,progressing-along,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/266/progressing-along
245,2026-01-06,exact,267,Time Traveler,,time-traveler,TRAINING CAMP,expired,https://www.futbin.com/26/evolutions/267/time-traveler
246,2026-01-08,inferred,271,Out Wide,,out-wide,REWARDS,expired,https://www.futbin.com/26/evolutions/271/out-wide
247,2026-01-08,exact,272,Fountain of Youth,,fountain-of-youth,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/272/fountain-of-youth
248,2026-01-09,exact,273,Helping Hand,,helping-hand,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/273/helping-hand
249,2026-01-10,exact,274,Net Results,,net-results,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/274/net-results
250,2026-01-11,inferred,275,Time Warp Icon,,time-warp-icon,COSMETICS,expired,https://www.futbin.com/26/evolutions/275/time-warp-icon
251,2026-01-12,exact,276,Just Passing By,,just-passing-by,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/276/just-passing-by
252,2026-01-13,exact,277,Warming Up,,warming-up,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/277/warming-up
253,2026-01-13,inferred,278,Jockey,,jockey,REWARDS,expired,https://www.futbin.com/26/evolutions/278/jockey
254,2026-01-13,inferred,279,Intercept,,intercept,REWARDS,expired,https://www.futbin.com/26/evolutions/279/intercept
255,2026-01-13,inferred,280,Deflector+,,deflector,REWARDS,expired,https://www.futbin.com/26/evolutions/280/deflector
256,2026-01-14,inferred,284,Pinged and Incisive Pass,,pinged-and-incisive-pass,REWARDS,expired,https://www.futbin.com/26/evolutions/284/pinged-and-incisive-pass
257,2026-01-14,exact,285,Repair Time,,repair-time,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/285/repair-time
258,2026-01-14,inferred,286,The Wizard,,the-wizard,REWARDS,active,https://www.futbin.com/26/evolutions/286/the-wizard
259,2026-01-15,inferred,290,Gamechanger,,gamechanger,REWARDS,expired,https://www.futbin.com/26/evolutions/290/gamechanger
260,2026-01-16,inferred,291,Low Driven Shot,,low-driven-shot,REWARDS,expired,https://www.futbin.com/26/evolutions/291/low-driven-shot
261,2026-01-16,exact,292,New Boots,,new-boots,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/292/new-boots
262,2026-01-16,exact,293,Build your TOTY HM EVO,,build-your-toty-hm-evo,BUILD YOUR TOTY HM,expired,https://www.futbin.com/26/evolutions/293/build-your-toty-hm-evo
263,2026-01-16,exact,294,TOTY HM CM Builder,,toty-hm-cm-builder,BUILD YOUR TOTY HM,expired,https://www.futbin.com/26/evolutions/294/toty-hm-cm-builder
264,2026-01-16,exact,295,TOTY HM CDM Builder,,toty-hm-cdm-builder,BUILD YOUR TOTY HM,expired,https://www.futbin.com/26/evolutions/295/toty-hm-cdm-builder
265,2026-01-16,exact,296,TOTY HM CAM Builder,,toty-hm-cam-builder,BUILD YOUR TOTY HM,expired,https://www.futbin.com/26/evolutions/296/toty-hm-cam-builder
266,2026-01-16,inferred,298,Quick Step,,quick-step,REWARDS,expired,https://www.futbin.com/26/evolutions/298/quick-step
267,2026-01-16,inferred,299,Positional Excellence,,positional-excellence,REWARDS,expired,https://www.futbin.com/26/evolutions/299/positional-excellence
268,2026-01-17,inferred,300,CB to CDM,,cb-to-cdm,REWARDS,expired,https://www.futbin.com/26/evolutions/300/cb-to-cdm
269,2026-01-17,inferred,301,LM/RM to CM,,lmrm-to-cm,REWARDS,expired,https://www.futbin.com/26/evolutions/301/lmrm-to-cm
270,2026-01-17,inferred,302,ST to CAM,,st-to-cam,REWARDS,expired,https://www.futbin.com/26/evolutions/302/st-to-cam
271,2026-01-17,exact,303,Strike like Kylian,,strike-like-kylian,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/303/strike-like-kylian
272,2026-01-18,exact,304,Give & Go,,give--go,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/304/give--go
273,2026-01-18,inferred,305,CB Roles++ & Intercept,,cb-roles--intercept,REWARDS,expired,https://www.futbin.com/26/evolutions/305/cb-roles--intercept
274,2026-01-18,inferred,306,Tiki Taka+,,tiki-taka,REWARDS,expired,https://www.futbin.com/26/evolutions/306/tiki-taka
275,2026-01-19,inferred,307,Second Wind,,second-wind,REWARDS,expired,https://www.futbin.com/26/evolutions/307/second-wind
276,2026-01-19,inferred,308,Defensive Instincts,,defensive-instincts,REWARDS,expired,https://www.futbin.com/26/evolutions/308/defensive-instincts
277,2026-01-19,exact,309,Royal Winger,,royal-winger,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/309/royal-winger
278,2026-01-19,inferred,310,Far Reach,,far-reach,REWARDS,expired,https://www.futbin.com/26/evolutions/310/far-reach
279,2026-01-20,inferred,311,Pinged Pass+,,pinged-pass,REWARDS,expired,https://www.futbin.com/26/evolutions/311/pinged-pass
280,2026-01-20,exact,312,Ultimate Fullback,,ultimate-fullback,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/312/ultimate-fullback
281,2026-01-20,exact,313,Ultimate Fullback,,ultimate-fullback,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/313/ultimate-fullback
282,2026-01-21,exact,314,Block Party,,block-party,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/314/block-party
283,2026-01-22,exact,315,Golden Gloves,,golden-gloves,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/315/golden-gloves
284,2026-01-22,inferred,316,Defensive Instincts,,defensive-instincts,REWARDS,expired,https://www.futbin.com/26/evolutions/316/defensive-instincts
285,2026-01-23,inferred,317,Inside Edge,,inside-edge,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/317/inside-edge
286,2026-01-23,inferred,318,Get Stuck In,,get-stuck-in,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/318/get-stuck-in
287,2026-01-23,exact,319,TOTY HM Press Proven+,,toty-hm-press-proven,BUILD YOUR TOTY HM,expired,https://www.futbin.com/26/evolutions/319/toty-hm-press-proven
288,2026-01-23,exact,320,TOTY HM First Touch+,,toty-hm-first-touch,BUILD YOUR TOTY HM,expired,https://www.futbin.com/26/evolutions/320/toty-hm-first-touch
289,2026-01-23,exact,321,TOTY HM Long Ball Pass+,,toty-hm-long-ball-pass,BUILD YOUR TOTY HM,expired,https://www.futbin.com/26/evolutions/321/toty-hm-long-ball-pass
290,2026-01-24,inferred,322,Swift Footwork,,swift-footwork,REWARDS,expired,https://www.futbin.com/26/evolutions/322/swift-footwork
291,2026-01-24,exact,323,Let me be Franck,,let-me-be-franck,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/323/let-me-be-franck
292,2026-01-24,exact,324,TOTY Icon,,toty-icon,COSMETICS,expired,https://www.futbin.com/26/evolutions/324/toty-icon
293,2026-01-24,exact,325,TOTY Honourable Mentions,,toty-honourable-mentions,COSMETICS,expired,https://www.futbin.com/26/evolutions/325/toty-honourable-mentions
294,2026-01-25,inferred,329,Pristine Control,,pristine-control,REWARDS,expired,https://www.futbin.com/26/evolutions/329/pristine-control
295,2026-01-25,exact,330,Power Play,,power-play,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/330/power-play
296,2026-01-26,inferred,331,Get Low,,get-low,REWARDS,expired,https://www.futbin.com/26/evolutions/331/get-low
297,2026-01-26,exact,332,The Crab Walk,,the-crab-walk,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/332/the-crab-walk
298,2026-01-27,exact,333,Creative Director,,creative-director,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/333/creative-director
299,2026-01-28,inferred,334,Explode Into Space,,explode-into-space,REWARDS,expired,https://www.futbin.com/26/evolutions/334/explode-into-space
300,2026-01-28,exact,335,Line Breaker,,line-breaker,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/335/line-breaker
301,2026-01-28,inferred,336,Sharpshooter - Season 5 Lvl 8,,sharpshooter-season-5-lvl-8,REWARDS,expired,https://www.futbin.com/26/evolutions/336/sharpshooter-season-5-lvl-8
302,2026-01-28,inferred,339,Dribble Mastery - Season 5 Lvl 8,,dribble-mastery-season-5-lvl-8,REWARDS,expired,https://www.futbin.com/26/evolutions/339/dribble-mastery-season-5-lvl-8
303,2026-01-28,inferred,340,Burst Boost - Season 5 (p) Lvl 10,,burst-boost-season-5-p-lvl-10,REWARDS,expired,https://www.futbin.com/26/evolutions/340/burst-boost-season-5-p-lvl-10
304,2026-01-28,inferred,341,Wall in the Back - Season 5 (p) Lvl 13,,wall-in-the-back-season-5-p-lvl-13,REWARDS,expired,https://www.futbin.com/26/evolutions/341/wall-in-the-back-season-5-p-lvl-13
305,2026-01-28,inferred,342,CAM Command - Season 5 (p) Lvl 18,,cam-command-season-5-p-lvl-18,REWARDS,expired,https://www.futbin.com/26/evolutions/342/cam-command-season-5-p-lvl-18
306,2026-01-29,inferred,343,Versatile Striker - Season 5 (p) Lvl 18,,versatile-striker-season-5-p-lvl-18,REWARDS,expired,https://www.futbin.com/26/evolutions/343/versatile-striker-season-5-p-lvl-18
307,2026-01-29,inferred,344,Intercept Engine - Season 5 Lvl 21,,intercept-engine-season-5-lvl-21,REWARDS,expired,https://www.futbin.com/26/evolutions/344/intercept-engine-season-5-lvl-21
308,2026-01-29,inferred,345,Precision Passer - Season 5 (p) Lvl 1,,precision-passer-season-5-p-lvl-1,REWARDS,expired,https://www.futbin.com/26/evolutions/345/precision-passer-season-5-p-lvl-1
309,2026-01-29,inferred,346,Relentless Shield - Season 5 Lvl 21,,relentless-shield-season-5-lvl-21,REWARDS,expired,https://www.futbin.com/26/evolutions/346/relentless-shield-season-5-lvl-21
310,2026-01-29,inferred,347,Bulking Season - Season 5 (p) Lvl 24,,bulking-season-season-5-p-lvl-24,REWARDS,expired,https://www.futbin.com/26/evolutions/347/bulking-season-season-5-p-lvl-24
311,2026-01-29,inferred,348,New Spark - Season 5 Lvl 28,,new-spark-season-5-lvl-28,REWARDS,expired,https://www.futbin.com/26/evolutions/348/new-spark-season-5-lvl-28
312,2026-01-29,inferred,349,Anticipate+ - Season 5 (p) Lvl 28,,anticipate-season-5-p-lvl-28,REWARDS,expired,https://www.futbin.com/26/evolutions/349/anticipate-season-5-p-lvl-28
313,2026-01-29,inferred,350,In All Areas - Season 5 (p) Lvl 26,,in-all-areas-season-5-p-lvl-26,REWARDS,expired,https://www.futbin.com/26/evolutions/350/in-all-areas-season-5-p-lvl-26
314,2026-01-29,exact,351,The Tiki Tactician,,the-tiki-tactician,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/351/the-tiki-tactician
315,2026-01-29,inferred,352,FS Academy Debut Attackers,,fs-academy-debut-attackers,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/352/fs-academy-debut-attackers
316,2026-01-30,inferred,353,FS Academy Debut Midfielders,,fs-academy-debut-midfielders,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/353/fs-academy-debut-midfielders
317,2026-01-30,inferred,354,FS Academy Debut Defender,,fs-academy-debut-defender,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/354/fs-academy-debut-defender
318,2026-01-30,exact,355,LB Roles++,,lb-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/355/lb-roles
319,2026-01-30,exact,356,CM Roles++,,cm-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/356/cm-roles
320,2026-01-30,exact,357,RB Roles++,,rb-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/357/rb-roles
321,2026-01-30,inferred,358,CDM Roles++,,cdm-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/358/cdm-roles
322,2026-01-30,exact,359,CB Roles++,,cb-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/359/cb-roles
323,2026-01-30,exact,360,LW Roles++,,lw-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/360/lw-roles
324,2026-01-30,exact,361,LM Roles++,,lm-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/361/lm-roles
325,2026-01-30,inferred,362,ST Roles++,,st-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/362/st-roles
326,2026-01-30,exact,363,CAM Roles++,,cam-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/363/cam-roles
327,2026-01-30,exact,364,RM Roles++,,rm-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/364/rm-roles
328,2026-01-30,exact,365,RW Roles++,,rw-roles,FS ACADEMY - ROLES,expired,https://www.futbin.com/26/evolutions/365/rw-roles
329,2026-01-30,inferred,366,FS Academy Contract,,fs-academy-contract,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/366/fs-academy-contract
330,2026-01-30,inferred,370,Jockey,,jockey,REWARDS,expired,https://www.futbin.com/26/evolutions/370/jockey
331,2026-01-30,inferred,371,Quick Step,,quick-step,REWARDS,expired,https://www.futbin.com/26/evolutions/371/quick-step
332,2026-01-30,inferred,372,Tiki Taka+,,tiki-taka,REWARDS,expired,https://www.futbin.com/26/evolutions/372/tiki-taka
333,2026-01-30,inferred,373,Iconic Defender Glow Up,,iconic-defender-glow-up,REWARDS,expired,https://www.futbin.com/26/evolutions/373/iconic-defender-glow-up
334,2026-01-30,inferred,374,Weak Foot Upgrade,,weak-foot-upgrade,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/374/weak-foot-upgrade
335,2026-01-30,inferred,375,Skill Moves Upgrade,,skill-moves-upgrade,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/375/skill-moves-upgrade
336,2026-01-30,inferred,376,CAM & Roles++,,cam--roles,REWARDS,expired,https://www.futbin.com/26/evolutions/376/cam--roles
337,2026-01-30,inferred,377,Iconic Attacker Glow Up,,iconic-attacker-glow-up,REWARDS,expired,https://www.futbin.com/26/evolutions/377/iconic-attacker-glow-up
338,2026-01-30,inferred,378,Tiki Taka+,,tiki-taka,REWARDS,expired,https://www.futbin.com/26/evolutions/378/tiki-taka
339,2026-01-30,inferred,379,Trickster,,trickster,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/379/trickster
340,2026-01-30,inferred,380,Tiki Taka,,tiki-taka,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/380/tiki-taka
341,2026-01-30,inferred,381,Gamechanger,,gamechanger,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/381/gamechanger
342,2026-01-30,inferred,382,Bruiser,,bruiser,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/382/bruiser
343,2026-01-30,inferred,383,Low Driven,,low-driven,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/383/low-driven
344,2026-01-30,inferred,384,Aerial Fortress,,aerial-fortress,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/384/aerial-fortress
345,2026-01-30,inferred,385,Whipped Pass,,whipped-pass,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/385/whipped-pass
346,2026-01-31,inferred,389,Slide Tackle,,slide-tackle,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/389/slide-tackle
347,2026-01-31,inferred,390,Dead Ball,,dead-ball,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/390/dead-ball
348,2026-01-31,inferred,394,Relentless,,relentless,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/394/relentless
349,2026-01-31,inferred,395,Precision Header,,precision-header,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/395/precision-header
350,2026-01-31,inferred,396,Chip Shot,,chip-shot,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/396/chip-shot
351,2026-01-31,inferred,397,Acrobatic,,acrobatic,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/397/acrobatic
352,2026-01-31,inferred,398,Power Shot,,power-shot,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/398/power-shot
353,2026-01-31,inferred,399,Inventive,,inventive,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/399/inventive
354,2026-01-31,inferred,400,Long Throw,,long-throw,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/400/long-throw
355,2026-01-31,inferred,401,Block,,block,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/401/block
356,2026-01-31,inferred,403,Rapid+,,rapid,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/403/rapid
357,2026-01-31,inferred,404,Quick Step+,,quick-step,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/404/quick-step
358,2026-01-31,inferred,405,Incisive Pass+,,incisive-pass,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/405/incisive-pass
359,2026-01-31,inferred,406,Intercept+,,intercept,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/406/intercept
360,2026-01-31,inferred,410,Finesse Shot+,,finesse-shot,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/410/finesse-shot
361,2026-01-31,inferred,411,Anticipate+,,anticipate,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/411/anticipate
362,2026-01-31,exact,412,Future No.1,,future-no1,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/412/future-no1
363,2026-02-01,exact,413,Future Stars Academy RW/LW First XI,,future-stars-academy-rwlw-first-xi,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/413/future-stars-academy-rwlw-first-xi
364,2026-02-01,exact,414,Future Stars Academy LM/RM First XI,,future-stars-academy-lmrm-first-xi,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/414/future-stars-academy-lmrm-first-xi
365,2026-02-01,exact,415,Future Stars Academy CB First XI,,future-stars-academy-cb-first-xi,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/415/future-stars-academy-cb-first-xi
366,2026-02-01,exact,416,Future Stars Academy CM/CDM First XI,,future-stars-academy-cmcdm-first-xi,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/416/future-stars-academy-cmcdm-first-xi
367,2026-02-01,exact,417,Future Stars Academy CM/CAM First XI,,future-stars-academy-cmcam-first-xi,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/417/future-stars-academy-cmcam-first-xi
368,2026-02-01,exact,418,Future Stars Academy ST First XI,,future-stars-academy-st-first-xi,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/418/future-stars-academy-st-first-xi
369,2026-02-01,exact,419,FS Academy Club Legend Attackers,,fs-academy-club-legend-attackers,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/419/fs-academy-club-legend-attackers
370,2026-02-01,exact,420,FS Academy Club Legend Defenders,,fs-academy-club-legend-defenders,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/420/fs-academy-club-legend-defenders
371,2026-02-01,exact,421,FS Academy Club Legend Midfielders,,fs-academy-club-legend-midfielders,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/421/fs-academy-club-legend-midfielders
372,2026-02-01,exact,422,Future Stars Academy LB/RB First XI,,future-stars-academy-lbrb-first-xi,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/422/future-stars-academy-lbrb-first-xi
373,2026-02-01,inferred,423,Pinged Pass+,,pinged-pass,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/423/pinged-pass
374,2026-02-01,inferred,424,Technical+,,technical,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/424/technical
375,2026-02-01,inferred,425,First Touch+,,first-touch,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/425/first-touch
376,2026-02-02,inferred,426,Jockey+,,jockey,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/426/jockey
377,2026-02-02,inferred,428,Press Proven+,,press-proven,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/428/press-proven
378,2026-02-02,inferred,429,Long Ball Pass+,,long-ball-pass,FS ACADEMY,expired,https://www.futbin.com/26/evolutions/429/long-ball-pass
