releaseDate,evolutionId,name,category,inputOverallMax,inputPlaystylePlusMax,outputOverall,positions,rarity,playstylePlusAddCount,playstylePlusAdded,free,repeatable,dateConfidence,sourceUrl
2026-01-29,348,New Spark - Season 5 Lvl 28,REWARDS,88,,,,Not Rarity: World Tour Silver Stars,1,Rapid,true,true,inferred,https://www.futbin.com/26/evolutions/348/new-spark-season-5-lvl-28
2026-01-29,349,Anticipate+ - Season 5 (p) Lvl 28,REWARDS,89,,,,Not Rarity: World Tour Silver Stars,1,Anticipate,true,true,inferred,https://www.futbin.com/26/evolutions/349/anticipate-season-5-p-lvl-28
2026-01-29,350,In All Areas - Season 5 (p) Lvl 26,REWARDS,88,,90,,Not Rarity: World Tour Silver Stars,1,Quick Step,true,true,inferred,https://www.futbin.com/26/evolutions/350/in-all-areas-season-5-p-lvl-26
2026-01-29,351,The Tiki Tactician,EVOLUTIONS,87,,,,Not Rarity: World Tour Silver Stars,1,Tiki Taka,,true,exact,https://www.futbin.com/26/evolutions/351/the-tiki-tactician
2026-01-29,352,FS Academy Debut Attackers,FS ACADEMY,84,,86,,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/352/fs-academy-debut-attackers
2026-01-30,353,FS Academy Debut Midfielders,FS ACADEMY,84,,86,,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/353/fs-academy-debut-midfielders
2026-01-30,354,FS Academy Debut Defender,FS ACADEMY,84,,86,,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/354/fs-academy-debut-defender
2026-01-30,355,LB Roles++,FS ACADEMY - ROLES,,,,LB,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/355/lb-roles
2026-01-30,356,CM Roles++,FS ACADEMY - ROLES,,,,CM,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/356/cm-roles
2026-01-30,357,RB Roles++,FS ACADEMY - ROLES,,,,RB,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/357/rb-roles
2026-01-30,358,CDM Roles++,FS ACADEMY - ROLES,,,,CDM,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/358/cdm-roles
2026-01-30,359,CB Roles++,FS ACADEMY - ROLES,,,,CB,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/359/cb-roles
2026-01-30,360,LW Roles++,FS ACADEMY - ROLES,,,,LW,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/360/lw-roles
2026-01-30,361,LM Roles++,FS ACADEMY - ROLES,,,,LM,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/361/lm-roles
2026-01-30,362,ST Roles++,FS ACADEMY - ROLES,,,,ST,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/362/st-roles
2026-01-30,363,CAM Roles++,FS ACADEMY - ROLES,,,,CAM,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/363/cam-roles
2026-01-30,364,RM Roles++,FS ACADEMY - ROLES,,,,RM,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/364/rm-roles
2026-01-30,365,RW Roles++,FS ACADEMY - ROLES,,,,RW,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/365/rw-roles
2026-01-30,366,FS Academy Contract,FS ACADEMY,84,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/366/fs-academy-contract
2026-01-30,370,Jockey,REWARDS,87,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/370/jockey
2026-01-30,371,Quick Step,REWARDS,87,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/371/quick-step
2026-01-30,372,Tiki Taka+,REWARDS,87,,,,,1,Tiki Taka,true,true,inferred,https://www.futbin.com/26/evolutions/372/tiki-taka
2026-01-30,373,Iconic Defender Glow Up,REWARDS,87,,88,RB or CB or LB,Not Rarity: World Tour Silver Stars,1,Intercept,true,true,inferred,https://www.futbin.com/26/evolutions/373/iconic-defender-glow-up
2026-01-30,374,Weak Foot Upgrade,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/374/weak-foot-upgrade
2026-01-30,375,Skill Moves Upgrade,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/375/skill-moves-upgrade
2026-01-30,376,CAM & Roles++,REWARDS,,,,,,0,,true,true,inferred,https://www.futbin.com/26/evolutions/376/cam--roles
2026-01-30,377,Iconic Attacker Glow Up,REWARDS,87,,90,ST or LW or RW,Not Rarity: World Tour Silver Stars,2,Low Driven Shot | Gamechanger,true,true,inferred,https://www.futbin.com/26/evolutions/377/iconic-attacker-glow-up
2026-01-30,378,Tiki Taka+,REWARDS,,,,,,1,Tiki Taka,true,true,inferred,https://www.futbin.com/26/evolutions/378/tiki-taka
2026-01-30,379,Trickster,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/379/trickster
2026-01-30,380,Tiki Taka,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/380/tiki-taka
2026-01-30,381,Gamechanger,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/381/gamechanger
2026-01-30,382,Bruiser,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/382/bruiser
2026-01-30,383,Low Driven,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/383/low-driven
2026-01-30,384,Aerial Fortress,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/384/aerial-fortress
2026-01-30,385,Whipped Pass,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/385/whipped-pass
2026-01-31,389,Slide Tackle,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/389/slide-tackle
2026-01-31,390,Dead Ball,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/390/dead-ball
2026-01-31,394,Relentless,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/394/relentless
2026-01-31,395,Precision Header,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/395/precision-header
2026-01-31,396,Chip Shot,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/396/chip-shot
2026-01-31,397,Acrobatic,EVOLUTIONS,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/397/acrobatic
2026-01-31,398,Power Shot,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/398/power-shot
2026-01-31,399,Inventive,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/399/inventive
2026-01-31,400,Long Throw,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/400/long-throw
2026-01-31,401,Block,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/401/block
2026-01-31,403,Rapid+,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,1,Rapid,true,true,inferred,https://www.futbin.com/26/evolutions/403/rapid
2026-01-31,404,Quick Step+,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,1,Quick Step,true,true,inferred,https://www.futbin.com/26/evolutions/404/quick-step
2026-01-31,405,Incisive Pass+,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,1,Incisive Pass,true,true,inferred,https://www.futbin.com/26/evolutions/405/incisive-pass
2026-01-31,406,Intercept+,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,1,Intercept,true,true,inferred,https://www.futbin.com/26/evolutions/406/intercept
2026-01-31,410,Finesse Shot+,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,1,Finesse Shot,true,true,inferred,https://www.futbin.com/26/evolutions/410/finesse-shot
2026-01-31,411,Anticipate+,FS ACADEMY,,,,,Rarity: Future Stars Academy Evo,1,Anticipate,true,true,inferred,https://www.futbin.com/26/evolutions/411/anticipate
2026-01-31,412,Future No.1,EVOLUTIONS,87,,88,GK,,1,Rush Out,,true,exact,https://www.futbin.com/26/evolutions/412/future-no1
2026-02-01,413,Future Stars Academy RW/LW First XI,FS ACADEMY,86,,88,RW or LW,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/413/future-stars-academy-rwlw-first-xi
2026-02-01,414,Future Stars Academy LM/RM First XI,FS ACADEMY,86,,88,LM or RM,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/414/future-stars-academy-lmrm-first-xi
2026-02-01,415,Future Stars Academy CB First XI,FS ACADEMY,86,,88,CB,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/415/future-stars-academy-cb-first-xi
2026-02-01,416,Future Stars Academy CM/CDM First XI,FS ACADEMY,86,,88,CM or CDM,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/416/future-stars-academy-cmcdm-first-xi
2026-02-01,417,Future Stars Academy CM/CAM First XI,FS ACADEMY,86,,88,CM or CAM,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/417/future-stars-academy-cmcam-first-xi
2026-02-01,418,Future Stars Academy ST First XI,FS ACADEMY,86,,88,ST,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/418/future-stars-academy-st-first-xi
2026-02-01,419,FS Academy Club Legend Attackers,FS ACADEMY,88,,90,,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/419/fs-academy-club-legend-attackers
2026-02-01,420,FS Academy Club Legend Defenders,FS ACADEMY,88,,90,,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/420/fs-academy-club-legend-defenders
2026-02-01,421,FS Academy Club Legend Midfielders,FS ACADEMY,88,,90,,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/421/fs-academy-club-legend-midfielders
2026-02-01,422,Future Stars Academy LB/RB First XI,FS ACADEMY,86,,88,LB or RB,Rarity: Future Stars Academy Evo,0,,true,2,exact,https://www.futbin.com/26/evolutions/422/future-stars-academy-lbrb-first-xi
2026-02-01,423,Pinged Pass+,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,1,Pinged Pass,true,true,inferred,https://www.futbin.com/26/evolutions/423/pinged-pass
2026-02-01,424,Technical+,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,1,Technical,true,true,inferred,https://www.futbin.com/26/evolutions/424/technical
2026-02-01,425,First Touch+,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,1,First Touch,true,true,inferred,https://www.futbin.com/26/evolutions/425/first-touch
2026-02-02,426,Jockey+,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,1,Jockey,true,true,inferred,https://www.futbin.com/26/evolutions/426/jockey
2026-02-02,428,Press Proven+,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,1,Press Proven,true,true,inferred,https://www.futbin.com/26/evolutions/428/press-proven
2026-02-02,429,Long Ball Pass+,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,1,Long Ball Pass,true,true,inferred,https://www.futbin.com/26/evolutions/429/long-ball-pass
2026-02-02,430,Up in the Air,EVOLUTIONS,86,,87,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/430/up-in-the-air
2026-02-02,431,5* Weak Foot,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/431/5-weak-foot
2026-02-03,436,Intercept,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/436/intercept
2026-02-03,437,Rapid+,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Rapid,true,true,inferred,https://www.futbin.com/26/evolutions/437/rapid
2026-02-03,438,5* Skill Moves,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,0,,true,true,inferred,https://www.futbin.com/26/evolutions/438/5-skill-moves
2026-02-03,439,Incisive Pass+,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Incisive Pass,true,true,inferred,https://www.futbin.com/26/evolutions/439/incisive-pass
2026-02-03,440,Agile Maestro,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,0,,true,5,inferred,https://www.futbin.com/26/evolutions/440/agile-maestro
2026-02-03,441,Link-Up Boost,EVOLUTIONS,87,,88,,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/441/link-up-boost
2026-02-05,442,Technical Institute,EVOLUTIONS,86,,87,CB,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/442/technical-institute
2026-02-06,443,Meeks Mode,EVOLUTIONS,87,,88,RB,Not Rarity: World Tour Silver Stars,1,Bruiser,,true,exact,https://www.futbin.com/26/evolutions/443/meeks-mode
2026-02-06,447,Anticipate,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/447/anticipate
2026-02-07,448,Jockey+,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Jockey,true,true,inferred,https://www.futbin.com/26/evolutions/448/jockey
2026-02-07,449,5 Stars Skill Moves Upgrade,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/449/5-stars-skill-moves-upgrade
2026-02-07,450,5 Stars Weak Foot Upgrade,FS ACADEMY,88,,,,Rarity: Future Stars Academy Evo,0,,true,2,inferred,https://www.futbin.com/26/evolutions/450/5-stars-weak-foot-upgrade
2026-02-07,451,Future Stars Academy II,FS ACADEMY,84,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/451/future-stars-academy-ii
2026-02-07,452,Finesse Shot,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/452/finesse-shot
2026-02-07,453,Hold & Play,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/453/hold--play
2026-02-07,454,Future Stars,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/454/future-stars
2026-02-08,455,The Prince from Arenys,EVOLUTIONS,87,,88,CM,Not Rarity: World Tour Silver Stars,1,Incisive Pass,,true,exact,https://www.futbin.com/26/evolutions/455/the-prince-from-arenys
2026-02-09,456,Pinged Pass,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/456/pinged-pass
2026-02-09,457,Make the Link,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,0,,true,10,exact,https://www.futbin.com/26/evolutions/457/make-the-link
2026-02-10,458,The Duck,EVOLUTIONS,87,,88,ST or CAM,,1,Quick Step,true,true,exact,https://www.futbin.com/26/evolutions/458/the-duck
2026-02-11,459,Shove Off,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/459/shove-off
2026-02-12,460,That Ball is Mine,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,1,Rapid,true,2,exact,https://www.futbin.com/26/evolutions/460/that-ball-is-mine
2026-02-13,461,Crowned Maestro,EVOLUTIONS,87,,89,CAM,Not Rarity: World Tour Silver Stars,2,Tiki Taka | Incisive Pass,,true,inferred,https://www.futbin.com/26/evolutions/461/crowned-maestro
2026-02-13,462,GK Roles++,ROLES,88,,,GK,,0,,,5,exact,https://www.futbin.com/26/evolutions/462/gk-roles
2026-02-13,463,LB Roles++,ROLES,88,,,LB,,0,,,5,exact,https://www.futbin.com/26/evolutions/463/lb-roles
2026-02-13,464,RB Roles++,ROLES,88,,,RB,,0,,,5,exact,https://www.futbin.com/26/evolutions/464/rb-roles
2026-02-13,465,CB Roles++,ROLES,88,,,CB,,0,,,5,exact,https://www.futbin.com/26/evolutions/465/cb-roles
2026-02-13,466,CDM Roles++,ROLES,88,,,CDM,,0,,,5,exact,https://www.futbin.com/26/evolutions/466/cdm-roles
2026-02-13,467,CM Roles++,ROLES,88,,,CM,,0,,,5,exact,https://www.futbin.com/26/evolutions/467/cm-roles
2026-02-13,468,LW Roles++,ROLES,88,,,LW,,0,,,5,exact,https://www.futbin.com/26/evolutions/468/lw-roles
2026-02-13,469,RW Roles++,ROLES,88,,,RW,,0,,,5,exact,https://www.futbin.com/26/evolutions/469/rw-roles
2026-02-13,470,ST Roles++,ROLES,88,,,ST,,0,,,5,exact,https://www.futbin.com/26/evolutions/470/st-roles
2026-02-13,471,LM Roles++,ROLES,88,,,LM,,0,,,5,exact,https://www.futbin.com/26/evolutions/471/lm-roles
2026-02-13,472,RM Roles++,ROLES,88,,,RM,,0,,,5,exact,https://www.futbin.com/26/evolutions/472/rm-roles
2026-02-13,473,CAM Roles++,ROLES,88,,,CAM,,0,,,5,exact,https://www.futbin.com/26/evolutions/473/cam-roles
2026-02-14,474,Get your Protein,EVOLUTIONS,87,,,,Not Rarity: World Tour Silver Stars,1,Quick Step,true,2,inferred,https://www.futbin.com/26/evolutions/474/get-your-protein
2026-02-14,475,Knockout Royalty,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/475/knockout-royalty
2026-02-14,476,Knockout Royalty Icon,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/476/knockout-royalty-icon
2026-02-14,477,Tiki Taka+,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Tiki Taka,true,true,inferred,https://www.futbin.com/26/evolutions/477/tiki-taka
2026-02-14,478,Block+,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Block,true,true,inferred,https://www.futbin.com/26/evolutions/478/block
2026-02-14,479,Bruiser+,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Bruiser,true,true,inferred,https://www.futbin.com/26/evolutions/479/bruiser
2026-02-15,480,Complete Fnisher,REWARDS,87,,,ST,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/480/complete-fnisher
2026-02-15,481,Positional Excellence,REWARDS,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/481/positional-excellence
2026-02-15,482,Inside Edge,REWARDS,87,,90,RW,Not Rarity: World Tour Silver Stars,1,Finesse Shot,true,true,inferred,https://www.futbin.com/26/evolutions/482/inside-edge
2026-02-15,483,The Invisible Wall,EVOLUTIONS,87,,88,CM or CDM,Not Rarity: World Tour Silver Stars,1,Anticipate,,true,exact,https://www.futbin.com/26/evolutions/483/the-invisible-wall
2026-02-16,484,Box Guardian,REWARDS,87,,,CDM,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/484/box-guardian
2026-02-16,485,Footwork+,REWARDS,87,,,GK,Not Rarity: World Tour Silver Stars,1,Footwork,true,true,inferred,https://www.futbin.com/26/evolutions/485/footwork
2026-02-17,486,Just Shoot,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,0,,true,26,exact,https://www.futbin.com/26/evolutions/486/just-shoot
2026-02-18,487,Refined Flank Runner,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,1,Technical,true,2,exact,https://www.futbin.com/26/evolutions/487/refined-flank-runner
2026-02-19,488,Mindset Training,EVOLUTIONS,86,,87,,Not Rarity: World Tour Silver Stars,1,Press Proven,true,2,exact,https://www.futbin.com/26/evolutions/488/mindset-training
2026-02-20,489,Fantasy FC Path,EVOLUTIONS,87,,88,ST,Not Rarity: World Tour Silver Stars,1,Low Driven Shot,,true,exact,https://www.futbin.com/26/evolutions/489/fantasy-fc-path
2026-02-20,490,Running Workout,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,0,,true,10,exact,https://www.futbin.com/26/evolutions/490/running-workout
2026-02-21,491,Fantasy Staple,EVOLUTIONS,86,,87,RM,Not Rarity: World Tour Silver Stars,1,Rapid,true,2,exact,https://www.futbin.com/26/evolutions/491/fantasy-staple
2026-02-21,492,Fantasy FC,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/492/fantasy-fc
2026-02-22,493,Bronze Glow Up,EVOLUTIONS,64,,84,,,0,,,2,exact,https://www.futbin.com/26/evolutions/493/bronze-glow-up
2026-02-22,494,Climb The Ladder,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Aerial Fortress,true,true,inferred,https://www.futbin.com/26/evolutions/494/climb-the-ladder
2026-02-23,495,Passing Pro,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Pinged Pass,true,true,inferred,https://www.futbin.com/26/evolutions/495/passing-pro
2026-02-23,496,Instant Impact,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Finesse Shot,true,true,inferred,https://www.futbin.com/26/evolutions/496/instant-impact
2026-02-23,497,Going on an Adventure,EVOLUTIONS,86,,89,LB,Not Rarity: World Tour Silver Stars,1,Whipped Pass,true,true,exact,https://www.futbin.com/26/evolutions/497/going-on-an-adventure
2026-02-24,498,Fantasy Captain ICON,REWARDS,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/498/fantasy-captain-icon
2026-02-25,499,Calm & Collected,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,0,,true,21,exact,https://www.futbin.com/26/evolutions/499/calm--collected
2026-02-26,500,Midfield Dynamo,EVOLUTIONS,87,,,CB,Not Rarity: World Tour Silver Stars,1,Anticipate,,true,exact,https://www.futbin.com/26/evolutions/500/midfield-dynamo
2026-02-27,501,Max Skills,EVOLUTIONS,87,,89,LM,Not Rarity: World Tour Silver Stars,2,Quick Step | Trickster,,true,exact,https://www.futbin.com/26/evolutions/501/max-skills
2026-02-27,502,Bench Boost,EVOLUTIONS,74,,74,,Not Rarity: World Tour Silver Stars,1,Precision Header,true,true,exact,https://www.futbin.com/26/evolutions/502/bench-boost
2026-02-27,503,Set Menu,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/503/set-menu
2026-02-28,504,Inventive+,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,Inventive,true,true,inferred,https://www.futbin.com/26/evolutions/504/inventive
2026-02-28,505,Fantasy Captain ICON,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/505/fantasy-captain-icon
2026-03-01,506,Clinical Creator,TRAINING CAMP,87,,89,ST,Not Rarity: World Tour Silver Stars,2,Finesse Shot | Incisive Pass,,true,inferred,https://www.futbin.com/26/evolutions/506/clinical-creator
2026-03-01,507,Go Long,EVOLUTIONS,86,,87,GK,Not Rarity: World Tour Silver Stars,1,Far Throw,true,2,exact,https://www.futbin.com/26/evolutions/507/go-long
2026-03-02,508,Re-Enforced,EVOLUTIONS,86,,87,,Not Rarity: World Tour Silver Stars,1,Enforcer,true,2,exact,https://www.futbin.com/26/evolutions/508/re-enforced
2026-03-03,509,First Touch+,REWARDS,87,,,,Not Rarity: World Tour Silver Stars,1,First Touch,true,true,inferred,https://www.futbin.com/26/evolutions/509/first-touch
2026-03-03,510,Birthday Warmup,TRAINING CAMP,87,,,,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/510/birthday-warmup
2026-03-05,511,Thunder Strike,EVOLUTIONS,86,,,,Not Rarity: World Tour Silver Stars,0,,true,6,exact,https://www.futbin.com/26/evolutions/511/thunder-strike
2026-03-05,512,Trickster Boost,REWARDS,88,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/512/trickster-boost
2026-03-05,513,Cake & Rash,EVOLUTIONS,89,,91,ST,Not Rarity: World Tour Silver Stars,2,Quick Step | Finesse Shot,,true,inferred,https://www.futbin.com/26/evolutions/513/cake--rash
2026-03-05,514,CB Level up,EVOLUTIONS,87,,88,CB,Not Rarity: World Tour Silver Stars,0,,true,2,inferred,https://www.futbin.com/26/evolutions/514/cb-level-up
2026-03-06,515,Relentless+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Relentless,,Unlimited,inferred,https://www.futbin.com/26/evolutions/515/relentless
2026-03-06,516,Quick Step+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Quick Step,,Unlimited,inferred,https://www.futbin.com/26/evolutions/516/quick-step
2026-03-06,517,Long Throw+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Long Throw,,Unlimited,inferred,https://www.futbin.com/26/evolutions/517/long-throw
2026-03-06,518,Acrobatic+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Acrobatic,,Unlimited,exact,https://www.futbin.com/26/evolutions/518/acrobatic
2026-03-06,519,Chip Shot+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Chip Shot,,Unlimited,exact,https://www.futbin.com/26/evolutions/519/chip-shot
2026-03-06,520,Enforcer+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Enforcer,,Unlimited,inferred,https://www.futbin.com/26/evolutions/520/enforcer
2026-03-06,521,Slide Tackle+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Slide Tackle,,Unlimited,inferred,https://www.futbin.com/26/evolutions/521/slide-tackle
2026-03-06,522,Dead Ball+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Dead Ball,,Unlimited,exact,https://www.futbin.com/26/evolutions/522/dead-ball
2026-03-06,523,Bruiser+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Bruiser,,Unlimited,inferred,https://www.futbin.com/26/evolutions/523/bruiser
2026-03-06,524,Finesse Shot+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Finesse Shot,,Unlimited,exact,https://www.futbin.com/26/evolutions/524/finesse-shot
2026-03-06,525,Gamechanger+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Gamechanger,,Unlimited,exact,https://www.futbin.com/26/evolutions/525/gamechanger
2026-03-06,526,Jockey+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Jockey,,Unlimited,inferred,https://www.futbin.com/26/evolutions/526/jockey
2026-03-06,527,Intercept+,PREMIUM PS+ BAKERY,,,,,Rarity: FUT Birthday,1,Intercept,,Unlimited,inferred,https://www.futbin.com/26/evolutions/527/intercept
